,precision,recall,f1-score,support
air_cond,0.5046082949308756,0.438,0.4689507494646681,1000.0
car_horn,0.8590785907859079,0.7389277389277389,0.7944862155388471,429.0
children,0.6759167492566898,0.682,0.6789447486311598,1000.0
dog_bark,0.6758793969849246,0.807,0.7356426618049225,1000.0
drilling,0.5704347826086956,0.656,0.6102325581395349,1000.0
engine,0.6608996539792388,0.573,0.6138189608998393,1000.0
gun_shot,0.8337349397590361,0.9251336898395722,0.8770595690747782,374.0
jackhammer,0.5833333333333334,0.525,0.5526315789473685,1000.0
siren,0.7809633027522935,0.7330462863293864,0.756246529705719,929.0
street_music,0.6920955882352942,0.753,0.7212643678160919,1000.0
accuracy,0.6617040769583142,0.6617040769583142,0.6617040769583142,0.6617040769583142
macro avg,0.683694463262629,0.6831107715096698,0.680927794002293,8732.0
weighted avg,0.6606784574556764,0.6617040769583142,0.6588288498740645,8732.0
