,precision,recall,f1-score,support
air_cond,0.3333333333333333,0.328,0.33064516129032256,1000.0
car_horn,0.6827133479212254,0.7272727272727273,0.7042889390519187,429.0
children,0.4852354349561053,0.608,0.5397248113626276,1000.0
dog_bark,0.6662983425414365,0.603,0.6330708661417322,1000.0
drilling,0.5117370892018779,0.436,0.4708423326133909,1000.0
engine,0.5498241500586166,0.469,0.5062061521856449,1000.0
gun_shot,0.5453020134228188,0.8689839572192514,0.6701030927835051,374.0
jackhammer,0.38895558223289317,0.324,0.353518821603928,1000.0
siren,0.6893305439330544,0.7093649085037675,0.6992042440318302,929.0
street_music,0.48034515819750717,0.501,0.49045521292217326,1000.0
accuracy,0.5227897388914338,0.5227897388914338,0.5227897388914338,0.5227897388914338
macro avg,0.5333074995798868,0.5574621592995747,0.5398059633987073,8732.0
weighted avg,0.5214090867056708,0.5227897388914338,0.5184130339417881,8732.0
